PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,12.05.2022,227.80,223.00,235.00,1533000,72405,145
Jahr 2024,Jahr,12.05.2022,191.00,189.00,192.75,597312,17608,45
Jahr 2025,Jahr,12.05.2022,173.98,172.00,177.00,210240,5055,12
Quartal 3/2022,Quartal,12.05.2022,239.32,230.50,255.00,1077504,196722,315
Quartal 4/2022,Quartal,12.05.2022,272.25,264.00,284.00,660491,184592,191
Quartal 1/2023,Quartal,12.05.2022,279.94,276.00,290.00,138176,13433,42
Quartal 2/2023,Quartal,12.05.2022,191.40,194.00,195.00,17472,5787,6
Quartal 3/2023,Quartal,12.05.2022,194.24,194.30,198.00,8832,5190,4
Quartal 4/2023,Quartal,12.05.2022,246.39,247.00,255.00,136958,5190,29
Quartal 1/2024,Quartal,12.05.2022,236.48,-,-,-,520,-
Quartal 2/2024,Quartal,12.05.2022,165.48,-,-,-,335,-
Quartal 3/2024,Quartal,12.05.2022,159.00,-,-,-,447,-
Quartal 4/2024,Quartal,12.05.2022,203.26,-,-,-,81,-
Mai 2022,Monat,12.05.2022,194.06,-,-,-,229803,-
Juni 2022,Monat,12.05.2022,218.66,207.00,232.00,470880,226338,402
Juli 2022,Monat,12.05.2022,229.00,223.00,240.00,38688,1479,32
August 2022,Monat,12.05.2022,231.22,233.00,234.00,4464,511,3
September 2022,Monat,12.05.2022,258.35,-,-,-,906,-
Oktober 2022,Monat,12.05.2022,259.11,-,-,-,537,-
November 2022,Monat,12.05.2022,281.61,-,-,-,69,-
Dezember 2022,Monat,12.05.2022,276.36,-,-,-,294,-
Januar 2023,Monat,12.05.2022,300.70,-,-,-,-,-
Februar 2023,Monat,12.05.2022,295.07,-,-,-,-,-
